Wine_Id,product_link,image_link
142,https://labodega.consum.es/tintos/dehesasviejas-075l,https://labodega.consum.es/public/Image/2018/3/7025062_normal.png
143,https://labodega.consum.es/tintos/carrascalejo-075l,https://labodega.consum.es/public/Image/2018/3/7172307_normal.png
144,https://labodega.consum.es/tintos/estola-075l,https://labodega.consum.es/public/Image/2018/3/3068137_normal.png
145,https://labodega.consum.es/tintos/viasdelvero-075l,https://labodega.consum.es/public/Image/2018/3/7080831_normal.png
146,https://labodega.consum.es/tintos/campoviejo-075l,https://labodega.consum.es/public/Image/2018/3/816884_normal.png
147,https://labodega.consum.es/tintos/terracalida-075l,https://labodega.consum.es/public/Image/2018/3/7069727_normal.png
148,https://labodega.consum.es/tintos/antao-075l5,https://labodega.consum.es/public/Image/2018/3/7001006_normal.png
149,https://labodega.consum.es/tintos/apasionado-075l,https://labodega.consum.es/public/Image/2018/3/7255680_normal.png
150,https://labodega.consum.es/tintos/roureda-075l,https://labodega.consum.es/public/Image/2018/3/7057289_normal.png
151,https://labodega.consum.es/tintos/pluvium-075l,https://labodega.consum.es/public/Image/2018/3/7233674_normal.png
152,https://labodega.consum.es/ederra-reserva,https://labodega.consum.es/public/Image/2019/2/7327641TINTOEDERRARESERVA.png_normal.jpg
153,https://labodega.consum.es/tintos/matarromera-075l,https://labodega.consum.es/public/Image/2018/3/7078710_normal.png
154,https://labodega.consum.es/tintos/ramonroqueta-075l,https://labodega.consum.es/public/Image/2018/3/156745_normal.png
155,https://labodega.consum.es/pragustus-mencia,https://labodega.consum.es/public/Image/2019/1/7287712_PragustusTintopng.png_normal.jpg
156,https://labodega.consum.es/tintos/valdeoliva-075l,https://labodega.consum.es/public/Image/2018/3/7040934_normal.png
157,https://labodega.consum.es/tintos/mayordecastilla-075l,https://labodega.consum.es/public/Image/2018/3/7164718_normal.png
158,https://labodega.consum.es/tintos/jaumeserra-075l,https://labodega.consum.es/public/Image/2018/3/7040699_normal.png
159,https://labodega.consum.es/tintos/cune-075l,https://labodega.consum.es/public/Image/2018/3/3002524_normal.png
160,https://labodega.consum.es/tintos/losmolinos-075l9,https://labodega.consum.es/public/Image/2018/3/318808_normal.png
161,https://labodega.consum.es/tintos/altosdetamaron-075l10,https://labodega.consum.es/public/Image/2018/3/7205487_normal.png
162,https://labodega.consum.es/tintos/altosdetamaron-0375l,https://labodega.consum.es/public/Image/2018/3/7263887_normal.png
163,https://labodega.consum.es/tintos/lagnet-075l,https://labodega.consum.es/public/Image/2018/3/7057602_normal.png
164,https://labodega.consum.es/martin-berdugo,https://labodega.consum.es/public/Image/2017/9/7295751.png_normal.jpg
165,https://labodega.consum.es/tintos/latraca-075l,https://labodega.consum.es/public/Image/2018/3/7197705_normal.png
166,https://labodega.consum.es/espumosos/rondeloro-075l,https://labodega.consum.es/public/Image/2018/3/1600238_normal.png
167,https://labodega.consum.es/carlades,https://labodega.consum.es/public/Image/2017/12/7217131.png_normal.jpg
168,https://labodega.consum.es/generosos/elpriorramonroqueta-075l,https://labodega.consum.es/public/Image/2018/3/156729_normal.png
169,https://labodega.consum.es/blancos/lagardaxestosa-075l,https://labodega.consum.es/public/Image/2018/3/7179190_normal.png
170,https://labodega.consum.es/blancos/copdevent-075l,https://labodega.consum.es/public/Image/2018/3/7260672_normal.png
171,https://labodega.consum.es/espumosos/freixenetmininevada-02l,https://labodega.consum.es/public/Image/2018/3/373449_normal.png
172,https://labodega.consum.es/blancos/viaalbali-075l,https://labodega.consum.es/public/Image/2018/3/7259963_normal.png
173,https://labodega.consum.es/rosados/renebarbiertradicion-075l,https://labodega.consum.es/public/Image/2018/3/97048_normal.png
174,https://labodega.consum.es/rosados/mateus-075l,https://labodega.consum.es/public/Image/2018/3/383414_normal.png
175,https://labodega.consum.es/rosados/peascal-075l,https://labodega.consum.es/public/Image/2018/7/400x900_penascal.png_normal.jpg
176,https://labodega.consum.es/generosos/sanclemente-1l,https://labodega.consum.es/public/Image/2018/3/317743_normal.png
177,https://labodega.consum.es/rosados/pescador-075l,https://labodega.consum.es/public/Image/2018/3/7134547_normal.png
178,https://labodega.consum.es/blancos/bach-075l10,https://labodega.consum.es/public/Image/2018/3/318584_normal.png
179,https://labodega.consum.es/rosados/seguraviudas-075l,https://labodega.consum.es/public/Image/2018/3/7255219_normal.png
180,https://labodega.consum.es/blancos/condedecaralt-075l,https://labodega.consum.es/public/Image/2018/3/265470_normal.png
181,https://labodega.consum.es/blancos/sandara-075l,https://labodega.consum.es/public/Image/2018/3/7221443_normal.png
182,https://labodega.consum.es/rosados/vialaujar-075l,https://labodega.consum.es/public/Image/2018/3/7219970_normal.png
183,https://labodega.consum.es/rosados/castillodelliria-075l,https://labodega.consum.es/public/Image/2018/3/4558805_normal.png
184,https://labodega.consum.es/cava-brut-nat-rsva-m-monistrol,https://labodega.consum.es/public/Image/2018/5/7296262.png_normal.jpg
185,https://labodega.consum.es/rosados/cune-075l,https://labodega.consum.es/public/Image/2018/3/7092323_normal.png
186,https://labodega.consum.es/espumosos/annadecodorniu-075l22,https://labodega.consum.es/public/Image/2018/3/7254670_normal.png
187,https://labodega.consum.es/lopez-de-haro-blanco,https://labodega.consum.es/public/Image/2019/5/7301690BLANCOLPEZDEHARO.png_normal.jpg
188,https://labodega.consum.es/blancos/bach-075l9,https://labodega.consum.es/public/Image/2019/2/318279VINOBLANCOSECOBACH.png_normal.jpg
189,https://labodega.consum.es/rosados/vinorosadopalidoviaesmeralda-075l,https://labodega.consum.es/public/Image/2018/7/viaesmeralda_rosado_normal.jpg
190,https://labodega.consum.es/blancos/pazo-075l,https://labodega.consum.es/public/Image/2018/3/221440_normal.png
191,https://labodega.consum.es/espumosos/iloveitaly-075l,https://labodega.consum.es/public/Image/2018/3/7230076_normal.png
192,https://labodega.consum.es/espumosos/moetchandon-075l,https://labodega.consum.es/public/Image/2018/3/312751_normal.png
193,https://labodega.consum.es/blancos/consigna-0187l,https://labodega.consum.es/public/Image/2018/3/7270788_normal.png
194,https://labodega.consum.es/vino-eco-verdecillo,https://labodega.consum.es/public/Image/2018/4/7306660.png_normal.jpg
195,https://labodega.consum.es/rosados/crestarosa-075l,https://labodega.consum.es/public/Image/2018/3/375865_normal.png
196,https://labodega.consum.es/blancos/castillodelliria-075l5,https://labodega.consum.es/public/Image/2018/3/4558821_normal.png
197,https://labodega.consum.es/vino-glarima,https://labodega.consum.es/public/Image/2018/7/7314420_Glarima_normal.jpg
198,https://labodega.consum.es/blancos/marquesderiscal-075l,https://labodega.consum.es/public/Image/2018/3/7039287_normal.png
199,https://labodega.consum.es/rosados/bach-075l,https://labodega.consum.es/public/Image/2019/1/318261_VinoBachRosado.png_normal.jpg
200,https://labodega.consum.es/via-terra,https://labodega.consum.es/public/Image/2018/1/7298842.png_normal.jpg
201,https://labodega.consum.es/tinto-pradorey-crianza,https://labodega.consum.es/public/Image/2019/5/7311780TintoPradorey.png_normal.jpg
202,https://labodega.consum.es/blancos/blume-075l5,https://labodega.consum.es/public/Image/2018/3/7045503_normal.png
203,https://labodega.consum.es/espumosos/condedecaralt-075l,https://labodega.consum.es/public/Image/2018/3/347112_normal.png
204,https://labodega.consum.es/blancos/faustinovii-0185l,https://labodega.consum.es/public/Image/2018/3/7193006_normal.png
205,https://labodega.consum.es/espumosos/canalsnubiola-075l17,https://labodega.consum.es/public/Image/2018/3/7216729_normal.png
206,https://labodega.consum.es/espumosos/bautistamartilambrusco-075l,https://labodega.consum.es/public/Image/2018/3/7192656_normal.png
207,https://labodega.consum.es/espumosos/freixenetcartanevada-075l,https://labodega.consum.es/public/Image/2018/3/7074735_normal.png
